Pos,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%
SF,3.5,0.3,1.8,0.143,0,1,0,0.5,0.5,1
SF,13,2,3.7,0.545,1,1.7,0.6,0,0,
C,26.4,6.2,10.6,0.585,0.5,1.3,0.352,2.1,2.9,0.74
SF,13.6,2.7,6.6,0.409,1.3,3.8,0.336,0.2,0.2,0.75
SF-PF,4.2,0.5,0.7,0.625,0,0.1,0,0.2,0.2,1
SF,4.6,0.6,0.8,0.714,0,0,,0,0,
PF,2.5,0,0.5,0,0,0.5,0,1,1,1
PG,35.7,5.9,14.3,0.413,2.7,6.9,0.39,3.1,3.7,0.848
PG,9.2,0.9,4.1,0.216,0.7,3,0.222,0,0,
C-PF,10.5,1.4,2.6,0.565,0.1,0.4,0.2,0.7,0.9,0.781
C,12,1.6,3,0.547,0.1,0.5,0.143,0.8,1,0.821
PF,4.3,0.7,0.9,0.833,0.1,0.1,1,0.3,0.6,0.5
C,32.2,8,16.7,0.477,1.6,4.7,0.339,2.1,2.7,0.784
PF,5.9,0.8,1.1,0.692,0.2,0.3,0.5,0,0.1,0
C,18.6,3.2,5.9,0.545,0.6,1.8,0.313,1.7,2.1,0.821
SG,20.7,4.1,9.9,0.414,1.5,4.7,0.319,1.4,1.7,0.824
SG,14,3.3,8.7,0.385,2.7,5.7,0.471,0,0.3,0
SG,23.6,4.4,10.4,0.425,1,4.3,0.233,2,2.3,0.875
PG,31.1,6.8,15.9,0.425,3.2,8.4,0.381,3.7,4.3,0.864
SG,16.2,2.5,5.9,0.426,0.7,1.7,0.406,0.7,1,0.721
SG,11.4,1,3.1,0.318,0.1,1.1,0.067,0.8,1.2,0.647
SF,29,4.3,11.5,0.376,2.3,6.7,0.339,1.1,1.4,0.798
PG,9.5,0.7,1.5,0.462,0.4,0.9,0.417,0.3,0.3,0.778
PG,9.7,0.7,1.6,0.472,0.4,0.9,0.429,0.3,0.4,0.778
PG,8.7,0.3,1,0.333,0.3,1,0.333,0,0,
PG,19.3,2.3,5.1,0.448,0.5,1.4,0.363,1.8,1.9,0.926
SF,32.9,8,14.9,0.536,1.4,3.4,0.403,2.5,3,0.819
PF,30.3,4.6,10.2,0.455,1.5,4,0.374,1.5,2.3,0.647
SG,5.8,0.8,1.9,0.441,0.2,0.4,0.375,0.2,0.4,0.375
PG,10.8,1.3,4.5,0.286,0.4,2.2,0.167,0.7,0.7,1
SF-SG,8.7,1,2.6,0.385,0.4,1.2,0.333,0.7,0.9,0.778
SG,8.5,0,3.5,0,0,1.5,0,0,0,
SF,8.8,1.3,2.4,0.526,0.5,1.1,0.444,0.9,1.1,0.778
SG,7.1,0.5,1.5,0.294,0.1,0.5,0.2,0.1,0.2,0.5
PG,35.9,10.6,22.5,0.472,1,3.7,0.258,5.1,6.7,0.763
SG,25.8,4.8,12.2,0.394,2,5.8,0.354,1.6,2,0.791
SG,24.7,3.7,8.1,0.458,1.2,3.2,0.366,2.6,3.1,0.853
C,30,6.5,10.5,0.621,0.1,0.1,0.571,2.4,3.6,0.686
SF-SG,34.4,8.1,18.1,0.447,2.1,6.2,0.332,3.5,5,0.709
SF,34.6,8.4,18.8,0.444,2.2,6.5,0.331,3.5,4.9,0.72
