Pos,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%
PF,3.2,0.6,0.9,0.7,0,0,,0.5,0.5,0.833
PF,9.5,0.5,1,0.5,0,0,,1,1,1
PF-C,30.5,4.4,10.3,0.422,2.3,6.9,0.335,1.4,1.8,0.798
PF,29.4,4.5,10.3,0.435,2.3,6.5,0.346,1.6,2,0.798
C,33,4,10.3,0.392,2.4,7.6,0.315,1.1,1.4,0.8
SG,17.6,1.7,4.8,0.356,1,3.2,0.303,0.3,0.4,0.714
SG,18.6,1.9,5.1,0.364,1.1,3.3,0.323,0.3,0.4,0.75
SG,14.6,1.2,3.8,0.324,0.7,2.9,0.231,0.1,0.2,0.5
SF,18.5,2.1,4.6,0.461,0.8,2.4,0.326,0.4,0.6,0.611
SG,6,2,4,0.5,1,2,0.5,0,0,
SF,28.8,3.5,8.7,0.401,2.1,6.1,0.343,1.5,1.9,0.776
SF,29.4,3.3,8.9,0.368,1.7,5.9,0.293,1.7,2.1,0.789
SF,27.7,4,8.2,0.482,2.9,6.4,0.445,1.1,1.5,0.733
SG,23.9,3.7,9,0.404,1,3.5,0.299,0.9,1.9,0.462
SG,24.6,4.4,9,0.495,2.3,5,0.452,1.3,1.5,0.825
PG,27.8,6.6,16.4,0.402,2.4,9.8,0.245,5.2,5.2,1
SG,11.3,1.5,4,0.387,1,2.8,0.348,0.2,0.3,0.625
SG,11.1,1.5,3.9,0.392,1,2.7,0.357,0.2,0.4,0.625
SG,12.7,1.7,4.7,0.357,1,3.3,0.3,0,0,
PF,34.4,8.9,17.7,0.503,1.2,3.5,0.33,7.2,8.5,0.846
C,10.8,0.8,1.6,0.478,0,0,,0.3,0.5,0.5
SG,16.8,2.8,6.1,0.456,1.3,3.4,0.388,0.7,0.8,0.864
C,17.6,2.3,5.8,0.4,0.5,2.4,0.206,0.7,0.8,0.833
C,15.9,2,5,0.404,0.4,2.1,0.197,0.7,0.8,0.821
C,23.3,3.3,8.4,0.393,0.8,3.6,0.222,0.7,0.8,0.875
PG,14.4,1.1,3.1,0.354,0.4,1.6,0.231,0.6,0.6,0.865
SF,34.1,8.2,15.4,0.531,0.1,0.5,0.257,5.6,6.6,0.845
C,10.2,2,3,0.648,0,0.1,0.333,0.7,0.8,0.872
SF,19.5,2.9,6.4,0.446,0.3,1.2,0.281,0.8,1.4,0.603
C,17.4,2.6,5.8,0.456,0.9,2.4,0.355,1.2,1.6,0.772
C,16.9,2.7,6,0.448,1,2.6,0.383,1,1.3,0.797
C,18.7,2.5,5.1,0.483,0.5,1.9,0.25,1.8,2.5,0.738
SG,31.2,6.6,16,0.415,1.9,6.3,0.308,5.4,7,0.778
SG,23,3.5,7.7,0.455,1.3,3.7,0.336,1,1.3,0.733
PG,33.6,9.5,20.6,0.463,2.8,8.9,0.316,7,9.2,0.758
SG,22.8,2.4,6.1,0.394,0.8,2.8,0.297,1.2,1.5,0.792
SG,17.4,2.5,6,0.414,1.2,3.4,0.362,0.5,0.7,0.667
SF,19.8,2.4,6.2,0.39,0.7,2.6,0.286,0.8,1.2,0.674
PG,14.2,2.2,5.4,0.414,0.6,1.7,0.347,0.7,1,0.724
PG,28.2,5.4,12.3,0.441,2.1,5.7,0.367,3.2,4.2,0.776
C,33,7.3,13.8,0.533,0.1,0.6,0.143,3,5.2,0.575
C,33.8,7.3,13.9,0.53,0,0.4,0.048,3,5.2,0.584
C,28.1,7.3,13.1,0.552,0.5,1.8,0.286,2.5,4.9,0.513
SF,8.1,0.5,1.3,0.4,0.4,0.9,0.429,0,0,1
PG,24.9,3,6.7,0.444,0.6,2.2,0.259,0.8,1.1,0.741
SG,9.5,1.1,3.5,0.328,0.6,2.1,0.316,0.4,0.5,0.684
PF,3,0.2,1.4,0.143,0,0.8,0,0,0,
SG,15.5,1.7,4.8,0.351,1.4,4,0.35,0.3,0.4,0.846
C,29.5,7.5,15.7,0.477,1.1,3.4,0.331,6.9,8.5,0.807
SF,18.3,2.3,5.2,0.446,0.8,2.4,0.325,1.1,1.4,0.806
SF,15.8,2,4.6,0.442,0.8,2.2,0.349,1,1.2,0.787
SF,24.5,3,6.7,0.451,0.9,3.2,0.286,1.6,1.9,0.838
PF,12.4,2,3,0.642,0,0,1,0.9,1.2,0.769
SG,14.4,1.6,4.6,0.336,0.4,1.3,0.333,0.9,1,0.862
SG,15.3,1.7,4.9,0.338,0.5,1.4,0.342,0.9,1.1,0.862
SG,2,0,0.5,0,0,0.5,0,0,0,
SG,13.9,1.6,3.4,0.471,0.4,1.2,0.349,0.9,1.2,0.744
SG,7.5,0.9,2.1,0.435,0.2,0.5,0.333,0.2,0.2,1
SG,16.8,1.9,4,0.479,0.5,1.5,0.351,1.3,1.7,0.732
C,4.7,1.6,2,0.786,0,0,,0.1,0.4,0.333
C,24.4,4.1,6.6,0.617,0,0.1,0.143,0.8,1.4,0.563
PF,17.5,1.5,2.5,0.63,0,0.1,0,0.8,1,0.783
SF,22.4,1.4,3.9,0.355,0.9,3,0.292,0.3,0.4,0.75
C,12.7,1.8,3.6,0.518,0.1,0.7,0.135,0.5,0.9,0.569
PG,10.6,1.6,3.8,0.42,0.5,1.6,0.304,0.7,0.8,0.857
PF,29.9,3.4,7.4,0.466,1.6,4.3,0.376,1.1,1.5,0.722
SG,25.1,3.8,9.2,0.417,2.3,6,0.388,1.2,1.4,0.833
